calendar_year,event_id,tour
2022,9759,pgti
2022,9755,ngl
2022,9762,bet
2022,9745,jpn
2022,9750,kor
2022,2022137,euro
2022,9748,asa
2022,2022327,cha
2022,54,pga
2022,9751,afr
2022,9746,atvt
2022,9741,alp
2022,9749,pgti
2022,9742,ngl
2022,9743,pgt
2022,2022136,euro
2022,9737,kor
2022,2022326,cha
2022,9733,jpn
2022,616,champ
2022,9735,asa
2022,9736,adt
2022,9732,ngl
2022,9734,atvt
2022,9738,afr
2022,9731,ept
2022,464,pga
2022,5,liv
2022,9726,kor
2022,23,champ
2022,2022325,cha
2022,9722,jpn
2022,10,can
2022,2022135,euro
2022,9727,afr
2022,9725,pgti
2022,9719,ngl
2022,9724,adt
2022,9723,atvt
2022,9718,ept
2022,9713,asa
2022,625,champ
2022,2022134,euro
2022,9714,pgti
2022,9715,afr
2022,9712,ngl
2022,9711,ept
2022,9706,kor
2022,4,liv
2022,45,kft
2022,9703,jpn
2022,2022323,cha
2022,39,can
2022,9702,atgt
2022,2022133,euro
2022,9708,pgt
2022,9704,atvt
2022,9705,adt
2022,9707,ngl
2022,9697,bet
2022,53,can
2022,9682,jpn
2022,9686,kor
2022,2022132,euro
2022,9679,pgt
2022,94,kft
2022,60,pga
2022,2022322,cha
2022,22,champ
2022,9685,afr
2022,9684,adt
2022,9678,ept
2022,9683,pgti
2022,6,can
2022,2022321,cha
2022,9669,asa
2022,28,pga
2022,9668,atgt
2022,27,kft
2022,8,champ
2022,9671,chn
2022,9667,jpn
2022,2022131,euro
2022,9674,pgti
2022,9672,ngl
2022,9673,afr
2022,9670,adt
2022,619,champ
2022,123,kft
2022,9654,kor
2022,9656,asa
2022,27,pga
2022,2022320,cha
2022,2022130,euro
2022,9658,ngl
2022,9657,ept
2022,9659,pgt
2022,9645,ept
2022,9642,asa
2022,2022129,euro
2022,44,can
2022,13,pga
2022,2022319,cha
2022,17,champ
2022,9646,ngl
2022,26,kft
2022,9647,afr
2022,9640,jpn
2022,9634,ept
2022,524,pga
2022,54,can
2022,9636,atvt
2022,3,liv
2022,9635,ngl
2022,9637,afr
2022,2022318,cha
2022,9633,atgt
2022,2022128,euro
2022,22,kft
2022,2022317,cha
2022,9628,atvt
2022,9627,ept
2022,48,can
2022,2022127,euro
2022,525,pga
2022,9626,alp
2022,9625,atgt
2022,614,champ
2022,9618,pgt
2022,122,kft
2022,9617,ept
2022,9616,alp
2022,100,pga
2022,2022316,cha
2022,472,pga
2022,9619,bet
2022,9607,alp
2022,9606,chn
2022,2022315,cha
2022,507,champ
2022,518,pga
2022,9609,bet
2022,541,pga
2022,9598,ept
2022,9595,kor
2022,2022314,cha
2022,9600,pgt
2022,9597,alp
2022,9599,ngl
2022,2022122,euro
2022,2,liv
2022,9601,bet
2022,130,kft
2022,30,pga
2022,52,can
2022,57,sam
2022,9590,bet
2022,9587,ngl
2022,9586,ept
2022,9588,pgt
2022,9577,jpn
2022,34,pga
2022,9589,atvt
2022,9584,atgt
2022,2022121,euro
2022,136,kft
2022,9580,kor
2022,2022313,cha
2022,512,champ
2022,9585,alp
2022,9569,ept
2022,3,can
2022,9568,alp
2022,23,kft
2022,9565,kor
2022,9570,ngl
2022,9572,bet
2022,2022312,cha
2022,26,pga
2022,9571,atvt
2022,9567,adt
2022,9559,ept
2022,9560,ngl
2022,32,pga
2022,9557,kor
2022,37,kft
2022,622,champ
2022,9558,alp
2022,9561,adt
2022,9554,bet
2022,2022311,cha
2022,9555,jpn
2022,2022119,euro
2022,9553,afr
2022,9556,atvt
2022,11,sam
2022,1,liv
2022,9538,jpn
2022,2022118,euro
2022,59,sam
2022,9544,afr
2022,608,champ
2022,23,pga
2022,2022310,cha
2022,2,can
2022,9546,ngl
2022,9540,asa
2022,9545,ept
2022,9542,kor
2022,48,kft
2022,9533,ngl
2022,2022309,cha
2022,9535,atvt
2022,9532,ept
2022,9531,alp
2022,21,pga
2022,2022117,euro
2022,9530,atgt
2022,520,champ
2022,9524,jpn
2022,9528,kor
2022,9526,afr
2022,131,kft
2022,9517,afr
2022,9520,ngl
2022,2022307,cha
2022,33,pga
2022,9519,mgt
2022,9515,jpn
2022,100,kft
2022,558,champ
2022,9511,adt
2022,9513,afr
2022,9510,adt
2022,9508,alp
2022,11,kft
2022,19,pga
2022,9512,bet
2022,9509,ngl
